"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Gym-Training-Lifestyle-Essentials-3-Stripes-Duffel-Bag-Small-Unisex-Black-IP9862-i.270510657.29018100552?extraParams=%7B%22display_model_id%22%3A205568966320%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk6-mauqhxtvgbde75","adidas Gym & Training & Lifestyle Essentials 3-Stripes Duffel Bag Small Unisex Black IP9862","600.000","4.9","178 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-PrimeLift-Backpack-Unisex-Black-H44323-i.270510657.28368097962?extraParams=%7B%22display_model_id%22%3A108515374399%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbka-mauqp6odqg1g2a","adidas Gym & Training PrimeLift Backpack Unisex Black H44323","500.000","4.9","2RB+ terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Classic-3-Bar-Logo-Backpack-Unisex-Black-IS7048-i.270510657.43451173852?extraParams=%7B%22display_model_id%22%3A159185519647%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8259b-mgfuqgxug5546a","adidas Lifestyle Classic 3 Bar Logo Backpack Unisex Black IS7048","450.000","4.9","373 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Classic-Back-to-School-3-Stripes-Backpack-Unisex-Green-IS7042-i.270510657.44201187589?extraParams=%7B%22display_model_id%22%3A290094928176%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk1-mauoxnomh0ke91","adidas Lifestyle Classic Back-to-School 3-Stripes Backpack Unisex Green IS7042","500.000","5.0","319 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-APWR-Backpack-Unisex-Blue-IT5360-i.270510657.29768084029?extraParams=%7B%22display_model_id%22%3A207989421626%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rav8-mb58utrasajn32","adidas Lifestyle APWR Backpack Unisex Blue IT5360","480.000","5.0","Pilih 2, diskon 15%","-20%","198 terjual"
"https://shopee.co.id/adidas-Gym-Training-AEROREADY-B-ball-Cap-Unisex-Black-JN6096-i.270510657.42851207315?extraParams=%7B%22display_model_id%22%3A300096320812%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82251-mhmkq68l86isa9","adidas Gym & Training AEROREADY B-ball Cap Unisex Black JN6096","350.000","4.9","89 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Classic-3-Bar-Logo-Backpack-Unisex-Red-IS7052-i.270510657.44201187569?extraParams=%7B%22display_model_id%22%3A260095553156%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk8-mauoxpam452s4d","adidas Lifestyle Classic 3 Bar Logo Backpack Unisex Red IS7052","450.000","4.9","124 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Classic-Back-to-School-Stripes-Backpack-Unisex-Black-JD9564-i.270510657.44101187704?extraParams=%7B%22display_model_id%22%3A270094928260%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825ae-mgfuc8fmcpvx36","adidas Lifestyle Classic Back-to-School Stripes Backpack Unisex Black JD9564","450.000","5.0","468 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-adidas-Classic-Tape-Backpack-Unisex-Black-JY1058-i.270510657.40815313022?extraParams=%7B%22display_model_id%22%3A306265072239%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824gs-mdx4jm3a0z5y6d","adidas Lifestyle adidas Classic Tape Backpack Unisex Black JY1058","600.000","4.8","157 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Backpack-With-Pencil-Case-Unisex-Black-JI8081-i.270510657.27586675671?extraParams=%7B%22display_model_id%22%3A270096306128%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxj-mcm7w19j4jhzad","adidas Lifestyle Backpack With Pencil Case Unisex Black JI8081","600.000","4.9","452 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-APWR-Backpack-Unisex-Green-IT5364-i.270510657.40773994942?extraParams=%7B%22display_model_id%22%3A244020616795%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825a4-mfsytge9h2j02d","adidas Lifestyle APWR Backpack Unisex Green IT5364","480.000","5.0","324 terjual","-20%",""
"https://shopee.co.id/adidas-Running-RUNNING-ESSENTIAL-CLIMACOOL-6-PANEL-BASEBALL-CAP-Unisex-Blue-KD7002-i.270510657.47900463359?extraParams=%7B%22display_model_id%22%3A365040215874%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825a0-mgfs5476sfm0d4","adidas Running RUNNING ESSENTIAL CLIMACOOL 6 PANEL BASEBALL CAP Unisex Blue KD7002","320.000","4.8","Pilih 2, diskon 15%","-20%","25 terjual"
"https://shopee.co.id/adidas-Lifestyle-3-Stripes-Bucket-Hat-Unisex-Black-JE5660-i.270510657.43601178298?extraParams=%7B%22display_model_id%22%3A295094939520%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821em-mh6zb1amuvbd0f","adidas Lifestyle 3-Stripes Bucket Hat Unisex Black JE5660","450.000","5.0","38 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Essentials-3-Bar-Logo-Backpack-Unisex-Grey-JY1002-i.270510657.41515263821?extraParams=%7B%22display_model_id%22%3A286261680679%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824g1-mdwuwu9wbkeece","adidas Lifestyle Essentials 3 Bar Logo Backpack Unisex Grey JY1002","600.000","4.9","29 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-4ATHLTS-Duffel-Bag-Large-Unisex-Black-IM5522-i.270510657.29968097147?extraParams=%7B%22display_model_id%22%3A178549415180%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825ay-mgebxcm8w6byb1","adidas Lifestyle 4ATHLTS Duffel Bag Large Unisex Black IM5522","800.000","5.0","156 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-4ATHLTS-Camper-Backpack-Unisex-Blue-IL5747-i.270510657.28518085848?extraParams=%7B%22display_model_id%22%3A59488958022%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbkc-mauqnqj234tg42","adidas Lifestyle 4ATHLTS Camper Backpack Unisex Blue IL5747","640.000","5.0","Pilih 2, diskon 15%","-20%","152 terjual"
"https://shopee.co.id/adidas-Lifestyle-adidas-Classic-Tape-Backpack-Unisex-Burgundy-KE5636-i.270510657.57902611686?extraParams=%7B%22display_model_id%22%3A249110180165%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8227t-mhv508xwa5ts3f","adidas Lifestyle adidas Classic Tape Backpack Unisex Burgundy KE5636","600.000","5.0","52 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Gym-Training-Tech-3-Panel-Climaproof-Cap-Unisex-Black-JE5654-i.270510657.43701192871?extraParams=%7B%22display_model_id%22%3A260096863332%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8261r-mjz2w37tgzd439","adidas Lifestyle & Gym & Training Tech 3-Panel Climaproof Cap Unisex Black JE5654","440.000","5.0","Pilih 2, diskon 15%","-20%","80 terjual"
