"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Football-adidas-Football-Official-Manchester-United-Fan-Jersey-Men-Red-KR2562-i.270510657.54351363532?extraParams=%7B%22display_model_id%22%3A350124910366%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821dt-mh173ku78yko4e","adidas Football adidas Football Official Manchester United Fan Jersey Men Red KR2562","350.000","4.9","1RB+ terjual","",""
"https://shopee.co.id/adidas-Football-Manchester-United-25-26-Home-Jersey-Men-Red-JI7428-i.270510657.53802871790?extraParams=%7B%22display_model_id%22%3A375276703426%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822yk-mi2tyyh6nim88b","adidas Football Manchester United 25/26 Home Jersey Men Red JI7428","960.000","5.0","Pilih 2, diskon 15%","-20%","388 terjual"
"https://shopee.co.id/adidas-Football-adidas-Football-Official-Manchester-United-FC-Youth-Fan-Jersey-Unisex-Red-KR2572-i.270510657.50404164447?extraParams=%7B%22display_model_id%22%3A360396285585%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82601-mj54d8hg8w0678","adidas Football adidas Football Official Manchester United FC Youth Fan Jersey Unisex Red KR2572","300.000","4.9","114 terjual","",""
"https://shopee.co.id/adidas-Football-Real-Madrid-25-26-Home-Jersey-Men-White-JJ1931-i.270510657.46852896233?extraParams=%7B%22display_model_id%22%3A282243090873%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822xj-mi2u0i8bdurs3b","adidas Football Real Madrid 25/26 Home Jersey Men White JJ1931","960.000","4.9","Pilih 2, diskon 15%","-20%","95 terjual"
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-Trionda-Mini-Ball-Unisex-White-JD8034-i.270510657.27542542962?extraParams=%7B%22display_model_id%22%3A281845858921%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8258x-mgeenbb0zua438","adidas Football FIFA World Cup 26™ Trionda Mini Ball Unisex White JD8034","250.000","4.9","56 terjual","",""
"https://shopee.co.id/adidas-Football-Manchester-United-25-26-Away-Jersey-Men-White-JI7423-i.270510657.46452882527?extraParams=%7B%22display_model_id%22%3A390276710666%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822wx-mi2u04qqysque3","adidas Football Manchester United 25/26 Away Jersey Men White JI7423","960.000","5.0","Pilih 2, diskon 15%","-20%","69 terjual"
"https://shopee.co.id/adidas-Football-F50-League-Firm-Multi-Ground-Boots-Unisex-Orange-JI0004-i.270510657.24196804343?extraParams=%7B%22display_model_id%22%3A109558441159%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824j7-me84d5rg4d8l57","adidas Football F50 League Firm/Multi-Ground Boots Unisex Orange JI0004","910.000","5.0","Pilih 2, diskon 15%","-35%","53 terjual"
"https://shopee.co.id/adidas-Football-Predator-Club-Firm-Multi-Ground-Boots-Kids-Unisex-Orange-JH8867-i.270510657.41767413047?extraParams=%7B%22display_model_id%22%3A261435366130%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824g3-me84f4hhvhmvf6","adidas Football Predator Club Firm/Multi-Ground Boots Kids Unisex Orange JH8867","422.500","5.0","Pilih 2, diskon 15%","-35%","8 terjual"
"https://shopee.co.id/adidas-Football-Liverpool-FC-25-26-Home-Jersey-Men-Red-JV6423-i.270510657.40977129503?extraParams=%7B%22display_model_id%22%3A405276711500%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822xl-mi2u10of1blt78","adidas Football Liverpool FC 25/26 Home Jersey Men Red JV6423","960.000","5.0","Pilih 2, diskon 15%","-20%","39 terjual"
"https://shopee.co.id/adidas-Football-Real-Madrid-25-26-Away-Jersey-Men-Blue-JJ4182-i.270510657.45252882502?extraParams=%7B%22display_model_id%22%3A410276706802%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822wq-mi2tzotutywz9c","adidas Football Real Madrid 25/26 Away Jersey Men Blue JJ4182","960.000","5.0","Pilih 2, diskon 15%","-20%","20 terjual"
