"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","truncate","inline-block","truncate 2","_image_yazkc_11 src 4"
"https://shopee.co.id/adidas-Tennis-Lifestyle-Grand-Court-2.0-Shoes-Kids-Unisex-White-ID5271-i.270510657.43351191434?extraParams=%7B%22display_model_id%22%3A157846554509%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbka-maup46zw4bskf5","adidas Tennis & Lifestyle Grand Court 2.0 Shoes Kids Unisex White ID5271","420.000","-30%","Pilih 2, diskon 15%","5.0","226 terjual",""
"https://shopee.co.id/adidas-Swimming-Lifestyle-Altaswim-2.0-Sandals-Kids-Unisex-Pink-ID0305-i.270510657.41853142759?extraParams=%7B%22display_model_id%22%3A280259839400%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk0-mauph7b6ssv23a","adidas Swimming & Lifestyle Altaswim 2.0 Sandals Kids Unisex Pink ID0305","350.000","-30%","Pilih 2, diskon 15%","4.9","1RB+ terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Swimming-Lifestyle-Altaswim-2.0-Sandals-Kids-Unisex-Black-ID0306-i.270510657.27287580764?extraParams=%7B%22display_model_id%22%3A305376367776%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rau6-maymwpnvpl5cd3","adidas Swimming & Lifestyle Altaswim 2.0 Sandals Kids Unisex Black ID0306","350.000","-30%","Pilih 2, diskon 15%","4.9","2RB+ terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Swimming-Lifestyle-Altaswim-2.0-Sandals-Kids-Unisex-Blue-ID0308-i.270510657.44353132918?extraParams=%7B%22display_model_id%22%3A300259727132%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk0-mauow3zdzfdld5","adidas Swimming & Lifestyle Altaswim 2.0 Sandals Kids Unisex Blue ID0308","350.000","-30%","Pilih 2, diskon 15%","4.9","281 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Summerflex-Shoes-Kids-Unisex-Grey-IH8732-i.270510657.43901206872?extraParams=%7B%22display_model_id%22%3A280096285252%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk6-mauozribiffd26","adidas Lifestyle Summerflex Shoes Kids Unisex Grey IH8732","630.000","-10%","Pilih 2, diskon 15%","4.9","55 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Football-Predator-Club-Firm-Multi-Ground-Boots-Kids-Unisex-Orange-JH8867-i.270510657.41767413047?extraParams=%7B%22display_model_id%22%3A261435366130%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824g3-me84f4hhvhmvf6","adidas Football Predator Club Firm/Multi-Ground Boots Kids Unisex Orange JH8867","455.000","-30%","Pilih 2, diskon 15%","5.0","12 terjual",""
"https://shopee.co.id/adidas-Lifestyle-Tensaur-Run-2.0-Shoes-Kids-Unisex-Black-IE5985-i.270510657.41901196350?extraParams=%7B%22display_model_id%22%3A270095959102%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk9-maupgsu3zdnde2","adidas Lifestyle Tensaur Run 2.0 Shoes Kids Unisex Black IE5985","585.000","-10%","Pilih 2, diskon 15%","4.9","140 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Bubblecomfy-Shoes-Kids-Unisex-Blue-IH1265-i.270510657.40117019975?extraParams=%7B%22display_model_id%22%3A291406039660%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824g7-me4z60zbxzb867","adidas Lifestyle Bubblecomfy Shoes Kids Unisex Blue IH1265","495.000","-10%","Pilih 2, diskon 15%","5.0","30 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Running-Lifestyle-Tensaur-Run-2.0-Shoes-Kids-Unisex-White-IE5984-i.270510657.43717019747?extraParams=%7B%22display_model_id%22%3A291406006994%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824iz-me4yxbpguxaeb7","adidas Running & Lifestyle Tensaur Run 2.0 Shoes Kids Unisex White IE5984","495.000","-10%","Pilih 2, diskon 15%","5.0","122 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Tennis-Lifestyle-Advantage-Base-2.0-Shoes-Kids-Unisex-Black-IE9018-i.270510657.41923207973?extraParams=%7B%22display_model_id%22%3A306886878575%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824ie-mfkwth6pxvrce4","adidas Tennis & Lifestyle Advantage Base 2.0 Shoes Kids Unisex Black IE9018","585.000","-10%","Pilih 2, diskon 15%","5.0","23 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
