"contents href","_image_yazkc_11 src","_image_yazkc_11 src 2","whitespace-normal","font-medium 2","flex-none src","flex-none","truncate","pointer-events-none src","text-sp10","ml-[3px]","875rem] href","mr-0 src","h-4","w-auto src"
"https://shopee.co.id/Jaket-Tracktop-Adidas-Cheongsam-Chinese-CNY-Casuals-Pria-Wanita-i.294569768.54155976748?extraParams=%7B%22display_model_id%22%3A89262956193%2C%22model_selection_logic%22%3A3%7D&sp_atk=15394c68-b763-41c7-ae9a-6aa77e2245cd&xptdk=15394c68-b763-41c7-ae9a-6aa77e2245cd","https://down-id.img.susercontent.com/file/id-11134207-8224w-mknr6y2iksnbef","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","Jaket Tracktop Adidas Cheongsam Chinese CNY Casuals Pria Wanita","230.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.7","263 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","2-4 Hari","Kab. Bandung Barat","https://shopee.co.id/find_similar_products?catid=100011&itemid=54155976748&shopid=294569768","","",""
"https://shopee.co.id/ADIDAS-JACKET-jaket-vintage-stripe-3foil-california-taractop-jaket-casual-pria-wanita-viral-i.1472828422.28026977743?extraParams=%7B%22display_model_id%22%3A188235487649%2C%22model_selection_logic%22%3A2%7D&sp_atk=1befaa7f-11d4-40fa-aab4-35c890e900e2&xptdk=1befaa7f-11d4-40fa-aab4-35c890e900e2","https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mdp1qoqhez6760","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","ADIDAS JACKET- jaket vintage stripe 3foil california-taractop jaket casual pria wanita viral","96.294","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","2RB+ Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100011&itemid=28026977743&shopid=1472828422","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png","-34%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/ADIDAS-KAOS-ADIDAS-LOGO-TREFOIL-HITAM-CLASSIC-UNISEX-PREMIUM-i.259910994.18144243504?extraParams=%7B%22display_model_id%22%3A147143468176%2C%22model_selection_logic%22%3A3%7D&sp_atk=d92f8bbb-114f-40a7-94b7-390ad4779ec1&xptdk=d92f8bbb-114f-40a7-94b7-390ad4779ec1","https://down-id.img.susercontent.com/file/id-11134207-7r98t-lpminjn4unpnc9","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","ADIDAS - KAOS ADIDAS LOGO TREFOIL HITAM CLASSIC UNISEX PREMIUM","77.880","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.6","108 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Surabaya","https://shopee.co.id/find_similar_products?catid=100011&itemid=18144243504&shopid=259910994","","-76%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/kaos-Trefoil-est-1972-adds-i.112307553.58152731332?extraParams=%7B%22display_model_id%22%3A355263287069%2C%22model_selection_logic%22%3A3%7D&sp_atk=9c806668-98db-4f0d-a993-86ce06fcb092&xptdk=9c806668-98db-4f0d-a993-86ce06fcb092","https://down-id.img.susercontent.com/file/id-11134207-8224x-mhyviw4o188z1c","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f","kaos Trefoil est 1972 adds","66.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","49 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","3-5 Hari","Kab. Bandung Barat","https://shopee.co.id/find_similar_products?catid=100011&itemid=58152731332&shopid=112307553","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png","-56%",""
"https://shopee.co.id/Sweater-Ad*das-V-Neck-Sporty-Rich-i.387187556.28351958974?extraParams=%7B%22display_model_id%22%3A166511043487%2C%22model_selection_logic%22%3A3%7D&sp_atk=d178f8c1-448d-4d66-806c-3fbbd484cffa&xptdk=d178f8c1-448d-4d66-806c-3fbbd484cffa","https://down-id.img.susercontent.com/file/id-11134207-7r98r-lw79ytuly33e4f","https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13","Sweater Ad*das V Neck Sporty & Rich","124.999","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","1RB+ Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Kab. Bogor","https://shopee.co.id/find_similar_products?catid=100011&itemid=28351958974&shopid=387187556","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-50%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/Fashion-T-shirt-Baju-Kaos-TeesadidasClasik-Unisex-i.463365228.29015157507?extraParams=%7B%22display_model_id%22%3A217907723774%2C%22model_selection_logic%22%3A3%7D&sp_atk=d9082aa1-d386-400c-80c5-fd97544ec17a&xptdk=d9082aa1-d386-400c-80c5-fd97544ec17a","https://down-id.img.susercontent.com/file/id-11134207-7rasl-m2l4hsd98gqsa1","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","Fashion T-shirt Baju Kaos TeesadidasClasik Unisex","78.749","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","276 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-5 Hari","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100011&itemid=29015157507&shopid=463365228","","-55%",""
"https://shopee.co.id/Kaos-Adidas-Francis-Ringer-Tee-3-Stripes-Adidas-Classic-Unisex-Catton-24s-i.980866473.29825311045?extraParams=%7B%22display_model_id%22%3A247589574798%2C%22model_selection_logic%22%3A3%7D&sp_atk=c9ec8688-9117-405f-ba78-273875d5909c&xptdk=c9ec8688-9117-405f-ba78-273875d5909c","https://down-id.img.susercontent.com/file/id-11134207-7rase-m5x2sivznwfc62","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","Kaos Adidas Francis Ringer Tee 3 Stripes Adidas Classic Unisex Catton 24s","81.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.7","319 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Bandung","https://shopee.co.id/find_similar_products?catid=100011&itemid=29825311045&shopid=980866473","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png","-46%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/JAKET-TRACTOP-ADIDAS-GERMANY-CASUALS-FULL-TAG-LABEL-PRIA-WANITA-TERLARIS-i.294569768.28380826331?extraParams=%7B%22display_model_id%22%3A252988393060%2C%22model_selection_logic%22%3A3%7D&sp_atk=093d2e20-a9ca-4440-97ec-c4cce794590f&xptdk=093d2e20-a9ca-4440-97ec-c4cce794590f","https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m7s2utusp380c2","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","JAKET TRACTOP ADIDAS GERMANY CASUALS FULL TAG LABEL PRIA WANITA TERLARIS","150.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.7","399 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","2-4 Hari","Kab. Bandung Barat","https://shopee.co.id/find_similar_products?catid=100011&itemid=28380826331&shopid=294569768","","",""
"https://shopee.co.id/JAKET-ADIDAS-JUMBO-XXXL-XXXXL-XXXXXL-i.49813698.1731139486?extraParams=%7B%22display_model_id%22%3A2837153667%2C%22model_selection_logic%22%3A3%7D&sp_atk=e6571584-a6aa-4153-b800-5cfae8a9aff3&xptdk=e6571584-a6aa-4153-b800-5cfae8a9aff3","https://down-id.img.susercontent.com/file/28a05360e19e793871cc0668454f3a49","https://down-id.img.susercontent.com/file/id-11134258-822wh-mncisnffoni9b9","JAKET ADIDAS JUMBO XXXL XXXXL XXXXXL","132.250","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","1RB+ Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","3-4 Hari","Kab. Blitar","https://shopee.co.id/find_similar_products?catid=100011&itemid=1731139486&shopid=49813698","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-35%",""
"https://shopee.co.id/Jaket-tractop-ADIDAS-germany-casual-pria-wanita-full-tag-label-i.294569768.27127045576?extraParams=%7B%22display_model_id%22%3A198296102354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fdbf86b9-5271-490d-a0ed-1a8ce830e082&xptdk=fdbf86b9-5271-490d-a0ed-1a8ce830e082","https://down-id.img.susercontent.com/file/id-11134207-7rbk1-m6jc75j1a1dofe","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","Jaket tractop ADIDAS germany casual pria wanita full tag label","145.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.7","928 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","2-4 Hari","Kab. Bandung Barat","https://shopee.co.id/find_similar_products?catid=100011&itemid=27127045576&shopid=294569768","","",""
