"link","image","nama","harga","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Gym-Training-AEROREADY-Designed-to-Move-Feelready-Sport-Tee-Men-Black-GT5545-i.270510657.29168098202?extraParams=%7B%22display_model_id%22%3A237041995379%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbke-mauq5l5k7y4yf5","adidas Gym & Training AEROREADY Designed to Move Feelready Sport Tee Men Black GT5545","450.000","4.7","93 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-Train-Essentials-3-Stripes-Woven-Pants-Women-Black-JI8313-i.270510657.43503162868?extraParams=%7B%22display_model_id%22%3A275261594610%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk8-maup2yjh6cac8a","adidas Gym & Training Train Essentials 3-Stripes Woven Pants Women Black JI8313","850.000","4.9","56 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-Dropset-Base-Training-Shoes-Men-White-JS3162-i.270510657.41115313116?extraParams=%7B%22display_model_id%22%3A301265118639%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824h3-mdx4rtq8rqps92","adidas Gym & Training Dropset Base Training Shoes Men White JS3162","900.000","5.0","Pilih 2, diskon 15%","-10%","27 terjual"
"https://shopee.co.id/adidas-Gym-Training-Dropset-Control-Training-Shoes-Women-Orange-JQ1446-i.270510657.43324419486?extraParams=%7B%22display_model_id%22%3A266981835832%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82589-mgec1pr605xlaf","adidas Gym & Training Dropset Control Training Shoes Women Orange JQ1446","910.000","5.0","Pilih 2, diskon 15%","-35%","7 terjual"
"https://shopee.co.id/adidas-Gym-Training-Dropset-Base-Training-Shoes-Women-White-JS3166-i.270510657.43515262484?extraParams=%7B%22display_model_id%22%3A177282749268%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822xb-mhwm3emle70oc9","adidas Gym & Training Dropset Base Training Shoes Women White JS3166","1.000.000","4.9","62 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-Designed-4-Training-Full-Zip-Hooded-Sweatshirt-Women-Black-JP2654-i.270510657.41053047575?extraParams=%7B%22display_model_id%22%3A275251094383%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbka-maupoaqd0tq032","adidas Gym & Training Designed 4 Training Full-Zip Hooded Sweatshirt Women Black JP2654","1.200.000","4.9","19 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-Lifestyle-Sport-Backpack-Women-Black-JE3224-i.270510657.44301182955?extraParams=%7B%22display_model_id%22%3A159185525339%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvt-mcmeb2by81ucd5","adidas Gym & Training & Lifestyle Sport Backpack Women Black JE3224","585.000","5.0","Pilih 2, diskon 15%","-10%","568 terjual"
"https://shopee.co.id/adidas-Gym-Training-Designed-for-Training-Tee-Women-Black-IQ2654-i.270510657.25895216533?extraParams=%7B%22display_model_id%22%3A290072928398%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxx-mdjjttosp9uh29","adidas Gym & Training Designed for Training Tee Women Black IQ2654","377.000","5.0","Pilih 2, diskon 15%","-35%","53 terjual"
"https://shopee.co.id/adidas-Gym-Training-Train-Essentials-Big-Performance-Logo-Training-Tee-Women-Pink-IT0547-i.270510657.41900790523?extraParams=%7B%22display_model_id%22%3A260063477040%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822xo-miaulxs1mn7kb1","adidas Gym & Training Train Essentials Big Performance Logo Training Tee Women Pink IT0547","265.000","5.0","Pilih 2, diskon 15%","-50%","230 terjual"
"https://shopee.co.id/adidas-Gym-Training-Dropset-Base-Training-Shoes-Women-Black-JS3165-i.270510657.27490520191?extraParams=%7B%22display_model_id%22%3A248800533126%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824hz-mdwtlvctxjwke0","adidas Gym & Training Dropset Base Training Shoes Women Black JS3165","900.000","5.0","Pilih 2, diskon 15%","-10%","11 terjual"
"https://shopee.co.id/adidas-Gym-Training-Dropset-Base-Training-Shoes-Men-Black-JS3045-i.270510657.40715320416?extraParams=%7B%22display_model_id%22%3A296265096782%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824g5-mdx4n480npc215","adidas Gym & Training Dropset Base Training Shoes Men Black JS3045","900.000","5.0","Pilih 2, diskon 15%","-10%","14 terjual"
"https://shopee.co.id/adidas-Gym-Training-Dropset-Control-Training-Shoes-Men-Black-JS3036-i.270510657.43974220891?extraParams=%7B%22display_model_id%22%3A286965616666%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82593-mfulqt4usgek1f","adidas Gym & Training Dropset Control Training Shoes Men Black JS3036","1.260.000","4.9","Pilih 2, diskon 15%","-10%","22 terjual"
